,oid,table_name,rowcounts,counts_all,count_m,0
0,23633,ods_ytb_v_8600000002011102507001622_da,248856.0,71,60,52998.0
1,23639,ods_ytb_v_8600000002011102507001623_da,29065.0,26,15,5813.0
2,23645,ods_ytb_v_8600000002011102507001624_da,156576.0,85,74,33768.0
3,23651,ods_ytb_v_8600000002011102607001625_da,580908.0,70,59,131147.0
4,23657,ods_ytb_v_8600000002011102607001626_da,152605.0,22,11,30521.0
5,23663,ods_ytb_v_8600000002011102607001627_da,624672.0,26,15,39042.0
6,23669,ods_ytb_v_8600000002011102707001628_da,22245.0,30,19,4449.0
7,23675,ods_ytb_v_8600000002011102707001629_da,19796.0,75,64,4437.0
8,23681,ods_ytb_v_8600000002011102707001630_da,107125.0,75,64,21425.0
9,23687,ods_ytb_v_8600000002011102707001631_da,2510.0,26,15,251.0
10,23693,ods_ytb_v_8600000002011102707001632_da,5166.0,26,15,369.0
11,23699,ods_ytb_v_8600000002011102707001633_da,107310.0,29,18,21462.0
12,23705,ods_ytb_v_8600000002011102707001634_da,57015.0,26,15,11403.0
13,23711,ods_ytb_v_8600000002011102707001635_da,286052.0,181,170,67417.0
14,23717,ods_ytb_v_8600000002011102807001636_da,323660.0,101,90,69395.0
15,23723,ods_ytb_v_8600000002011112407001730_da,176852.0,76,65,36277.0
16,23729,ods_ytb_v_8600000002011112407001731_da,248060.0,15,4,53055.0
17,23735,ods_ytb_v_8600000002011112407001732_da,321612.0,15,4,69395.0
18,23741,ods_ytb_v_8600000002012011607002372_da,176950.0,16,6,35390.0
19,23747,ods_ytb_v_8600000002012011607002382_da,248740.0,15,5,62185.0
20,23753,ods_ytb_v_8600000002012011607002387_da,168164.0,22,12,35385.0
21,23759,ods_ytb_v_8600000002012011607002392_da,234838.0,17,7,35385.0
22,23765,ods_ytb_v_8600000002012011607002402_da,176925.0,22,12,35385.0
23,23771,ods_ytb_v_8600000002012011607002409_da,310925.0,16,6,62185.0
24,23777,ods_ytb_v_8600000002012011607002414_da,176950.0,16,6,35390.0
25,23783,ods_ytb_v_8600000002012011607002421_da,151800.0,22,12,35390.0
26,23789,ods_ytb_v_8600000002012011607002425_da,176950.0,22,12,35390.0
27,23795,ods_ytb_v_8600000002012011607002431_da,393590.0,18,8,62185.0
28,23801,ods_ytb_v_8600000002012042407002687_da,96250.0,83,72,19250.0
29,23807,ods_ytb_v_8600000002012060807002918_da,0.0,45,34,
30,23813,ods_ytb_v_8600000002012102207000002_da,0.0,164,149,
31,23819,ods_ytb_v_8600000002012102307000003_da,549360.0,149,134,129148.0
32,23825,ods_ytb_v_8600000002012102307000004_da,138220.0,82,67,27644.0
33,23831,ods_ytb_v_8600000002012102307000005_da,2313.0,80,69,257.0
34,23837,ods_ytb_v_8600000002012102307000006_da,275948.0,76,65,62331.0
35,23843,ods_ytb_v_8600000002012102307000007_da,274028.0,73,62,64155.0
36,23849,ods_ytb_v_8600000002012102307000008_da,244458.0,22,11,37671.0
37,23855,ods_ytb_v_8600000002012102307000009_da,177300.0,71,60,37669.0
38,23861,ods_ytb_v_8600000002012102307000010_da,2290561.0,46,35,232760.0
39,23867,ods_ytb_v_8600000002012102307000011_da,64610.0,29,18,12922.0
40,23873,ods_ytb_v_8600000002012102407000012_da,1732884.0,39,28,402757.0
41,23879,ods_ytb_v_8600000002012102407000013_da,31195.0,22,11,6239.0
42,23885,ods_ytb_v_8600000002012102407000016_da,28630.0,78,67,5726.0
43,23891,ods_ytb_v_8600000002012102407000018_da,1660652.0,73,62,402363.0
44,23897,ods_ytb_v_8600000002012102407000019_da,392698.0,181,170,36505.0
45,23903,ods_ytb_v_8600000002012102407000020_da,116650.0,73,62,23330.0
46,23909,ods_ytb_v_8600000002012102507000021_da,14598.0,23,12,2433.0
47,23915,ods_ytb_v_8600000002012102507000022_da,1676456.0,432,421,402730.0
48,23921,ods_ytb_v_8600000002012102507000023_da,110712.0,59,48,23326.0
49,23927,ods_ytb_v_8600000002012102507000024_da,311196.0,70,59,73447.0
50,23933,ods_ytb_v_8600000002012102507000026_da,28630.0,82,71,5726.0
51,23939,ods_ytb_v_8600000002012102507000027_da,64610.0,77,66,12922.0
52,23945,ods_ytb_v_8600000002012102507000028_da,13365.0,37,26,2673.0
53,23951,ods_ytb_v_8600000002012102507000030_da,154548.0,23,12,32749.0
54,23957,ods_ytb_v_8600000002012102507000031_da,626764.0,63,52,146195.0
55,23963,ods_ytb_v_8600000002012102507000035_da,28024.0,58,47,5726.0
56,23969,ods_ytb_v_8600000002012102507000036_da,3920.0,48,37,560.0
57,23975,ods_ytb_v_8600000002012102507000037_da,18440.0,503,492,3688.0
58,23981,ods_ytb_v_8600000002012102507000038_da,14934.0,74,63,2489.0
59,23987,ods_ytb_v_8600000002012102507000039_da,12445.0,30,19,2489.0
60,23993,ods_ytb_v_8600000002012102507000040_da,66170.0,74,63,13234.0
61,23999,ods_ytb_v_8600000002012102507000041_da,3332.0,61,50,238.0
62,24005,ods_ytb_v_8600000002012102507000042_da,138745.0,43,32,27749.0
63,24011,ods_ytb_v_8600000002012102507000043_da,8640.0,63,52,960.0
64,24017,ods_ytb_v_8600000002012102507000044_da,265145.0,75,64,53029.0
65,24023,ods_ytb_v_8600000002012102607000046_da,86285.0,47,36,17257.0
66,24029,ods_ytb_v_8600000002012102607000047_da,272676.0,236,221,62537.0
67,24035,ods_ytb_v_8600000002012102607000048_da,598540.0,369,358,142467.0
68,24041,ods_ytb_v_8600000002012102607000049_da,335020.0,47,36,67004.0
69,24047,ods_ytb_v_8600000002012102607000050_da,140780.0,263,252,29563.0
70,24053,ods_ytb_v_8600000002012102607000051_da,8290.0,40,29,1658.0
71,24059,ods_ytb_v_8600000002012102807000052_da,30540.0,73,62,6108.0
72,24065,ods_ytb_v_8600000002012102807000053_da,7908.0,79,68,659.0
73,24071,ods_ytb_v_8600000002012102907000055_da,12696.0,31,20,2116.0
74,24077,ods_ytb_v_8600000002012102907000056_da,7084.0,30,19,644.0
75,24083,ods_ytb_v_8600000002013011907420161_da,37652.0,407,396,9413.0
76,24089,ods_ytb_v_8600000002013011907460161_da,16950.0,221,210,3390.0
77,24095,ods_ytb_v_8600000002013012207500161_da,858.0,95,84,78.0
78,24101,ods_ytb_v_8600000002013022207380001_da,219492.0,61,50,48729.0
79,24107,ods_ytb_v_8600000002013062707360001_da,98890.0,39,28,19778.0
80,24113,ods_ytb_v_8600000002013092607820001_da,514564.0,34,23,121473.0
81,24119,ods_ytb_v_8600000002013111907720005_da,0.0,163,148,
82,24125,ods_ytb_v_8600000002013111907720006_da,659336.0,376,365,158178.0
83,24131,ods_ytb_v_8600000002013111907720007_da,150260.0,42,31,30052.0
84,24137,ods_ytb_v_8600000002013112707080001_da,333716.0,76,65,76773.0
85,24143,ods_ytb_v_8600000002013112707080002_da,3364783.0,430,419,424490.0
86,24149,ods_ytb_v_8600000002013112707080003_da,48628.0,502,491,10877.0
87,24155,ods_ytb_v_8600000002013112707080004_da,11595.0,22,11,2319.0
88,24161,ods_ytb_v_8600000002013112707080005_da,17645.0,490,479,3529.0
89,24167,ods_ytb_v_8600000002013112707080006_da,17645.0,220,209,3529.0
90,24173,ods_ytb_v_8600000002013112707080007_da,1014.0,94,83,78.0
91,24179,ods_ytb_v_8600000002013112707080008_da,3810.0,79,68,635.0
92,24185,ods_ytb_v_8600000002013112707080009_da,1804460.0,34,23,424491.0
93,24191,ods_ytb_v_8600000002013112707080010_da,155696.0,23,12,36108.0
94,24197,ods_ytb_v_8600000002013112707080011_da,1765020.0,71,60,424359.0
95,24203,ods_ytb_v_8600000002013112707080012_da,617844.0,63,52,154748.0
96,24209,ods_ytb_v_8600000002013112707120001_da,986964.0,40,29,223189.0
97,24215,ods_ytb_v_8600000002013112807160001_da,256532.0,58,47,56453.0
98,24221,ods_ytb_v_8600000002013112807160002_da,78252.0,41,30,18027.0
99,24227,ods_ytb_v_8600000002013112807160003_da,13230.0,36,25,2646.0
100,24233,ods_ytb_v_8600000002013112807160004_da,3996.0,78,67,666.0
101,24239,ods_ytb_v_8600000002013112807160005_da,121075.0,75,64,24215.0
102,24245,ods_ytb_v_8600000002013112807160006_da,237379.0,234,219,66497.0
103,24251,ods_ytb_v_8600000002013112807160007_da,121075.0,58,47,24215.0
104,24257,ods_ytb_v_8600000002013112807160008_da,20232.0,60,49,1124.0
105,24263,ods_ytb_v_8600000002013112807180001_da,315432.0,46,35,68362.0
106,24269,ods_ytb_v_8600000002013112807200001_da,9606.0,39,28,1601.0
107,24275,ods_ytb_v_8600000002013112807200002_da,134716.0,262,251,29839.0
108,24281,ods_ytb_v_8600000002013112807200003_da,212.0,58,47,212.0
109,24287,ods_ytb_v_8600000002014032807080006_da,1080772.0,34,23,247665.0
110,24293,ods_ytb_v_8600000002014072907520001_da,5446.0,22,11,778.0
111,24299,ods_ytb_v_8600000002014102007040001_da,403991.0,168,153,124765.0
112,24305,ods_ytb_v_8600000002014102007040004_da,186100.0,98,87,40637.0
113,24311,ods_ytb_v_8600000002014102007040017_da,12995.0,99,88,2599.0
114,24317,ods_ytb_v_8600000002014102107060003_da,199412.0,101,90,40637.0
115,24323,ods_ytb_v_8600000002014102207080021_da,6342.0,100,89,1057.0
116,24329,ods_ytb_v_8600000002014102207080031_da,12995.0,101,90,2599.0
117,24335,ods_ytb_v_8600000002014102207080036_da,5285.0,103,92,1057.0
118,24341,ods_ytb_v_8600000002014102907200005_da,354584.0,65,54,81222.0
119,24347,ods_ytb_v_8600000002014103107240001_da,3937372.0,167,152,958034.0
120,24353,ods_ytb_v_8600000002014103107240002_da,988084.0,40,29,236781.0
121,24359,ods_ytb_v_8600000002014103107260002_da,203185.0,22,11,40637.0
122,24365,ods_ytb_v_8600000002014103107280001_da,190196.0,72,61,40637.0
123,24371,ods_ytb_v_8600000002014103107280003_da,204260.0,17,6,40852.0
124,24377,ods_ytb_v_8600000002014103107280004_da,31385.0,17,6,6277.0
125,24383,ods_ytb_v_8600000002014103107300001_da,3493696.0,430,419,440755.0
126,24389,ods_ytb_v_8600000002014103107300002_da,95196.0,502,491,21495.0
127,24395,ods_ytb_v_8600000002014110307340001_da,11300.0,22,11,2260.0
128,24401,ods_ytb_v_8600000002014110307340002_da,368288.0,76,65,80040.0
129,24407,ods_ytb_v_8600000002014110307340003_da,3794.0,79,68,542.0
130,24413,ods_ytb_v_8600000002014110307340004_da,18465.0,537,526,3693.0
131,24419,ods_ytb_v_8600000002014110307340005_da,88524.0,198,187,18035.0
132,24425,ods_ytb_v_8600000002014110407360002_da,980126.0,376,365,169606.0
133,24431,ods_ytb_v_8600000002014110507380007_da,118185.0,232,221,23637.0
134,24437,ods_ytb_v_8600000002014110507380009_da,88655.0,70,59,17731.0
135,24443,ods_ytb_v_8600000002014110507380015_da,31178.0,70,59,2227.0
136,24449,ods_ytb_v_8600000002014110507380016_da,150675.0,50,39,30135.0
137,24455,ods_ytb_v_8600000002014110607380022_da,1870500.0,34,23,440745.0
138,24461,ods_ytb_v_8600000002014111307500001_da,204260.0,78,67,40852.0
139,24467,ods_ytb_v_8600000002014111807700002_da,190016.0,179,168,40848.0
140,24473,ods_ytb_v_8600000002014111907700003_da,24740.0,68,57,6185.0
141,24479,ods_ytb_v_8600000002014111907700004_da,77740.0,67,56,15851.0
142,24485,ods_ytb_v_8600000002014111907700005_da,72790.0,83,72,14558.0
143,24491,ods_ytb_v_8600000002014112007720001_da,14085.0,67,56,2817.0
144,24497,ods_ytb_v_8600000002014112107740098_da,16902.0,32,21,2817.0
145,24503,ods_ytb_v_8600000002014112107740101_da,79255.0,31,20,15851.0
146,24509,ods_ytb_v_8600000002014112507800008_da,224356.0,67,52,47385.0
147,24515,ods_ytb_v_8600000002014112507800009_da,4373696.0,88,77,942755.0
148,24521,ods_ytb_v_8600000002014112707840001_da,31915.0,64,53,6383.0
149,24527,ods_ytb_v_8600000002014112707840002_da,393500.0,69,58,81223.0
150,24533,ods_ytb_v_8600000002014112707840005_da,371996.0,44,33,81223.0
151,24539,ods_ytb_v_8600000002014112707840006_da,3780.0,45,34,540.0
152,24545,ods_ytb_v_8600000002014112707840012_da,80676.0,41,30,18377.0
153,24551,ods_ytb_v_8600000002014112707840013_da,111980.0,87,76,24667.0
154,24557,ods_ytb_v_8600000002014112707840022_da,121196.0,58,47,24667.0
155,24563,ods_ytb_v_8600000002014112707840024_da,7730.0,39,28,1546.0
156,24569,ods_ytb_v_8600000002014120207000006_da,1858353.0,80,69,440528.0
